disease,cause,symptoms,treatment,prevention
Powdery Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Root Rot,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Blight,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Verticillium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Leaf Spot,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Powdery Mildew,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Rust,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Bacterial Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Anthracnose,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Powdery Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Downy Mildew,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Verticillium Wilt,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Powdery Mildew,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Fusarium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Downy Mildew,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Root Rot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Use disease-resistant plant varieties and maintain garden hygiene.
Anthracnose,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Disinfect tools before use and avoid working in wet conditions.
Blight,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Use disease-resistant plant varieties and maintain garden hygiene.
